GEOID,NAME,variable,estimate,moe,city,state
3502000,"Albuquerque city, New Mexico",B17021_002,100260,4014,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",B19013_001,49878,857,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",C16002_004,7723,681,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",C16002_007,462,150,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",C16002_010,812,171,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",C16002_013,415,150,Albuquerque,NM
827425,"Fort Collins city, Colorado",B01003_001,159150,62,Fort Collins,CO
827425,"Fort Collins city, Colorado",B03002_003,128306,1055,Fort Collins,CO
827425,"Fort Collins city, Colorado",B03002_012,18726,934,Fort Collins,CO
827425,"Fort Collins city, Colorado",B11016_001,61532,772,Fort Collins,CO
827425,"Fort Collins city, Colorado",B17021_002,25683,1390,Fort Collins,CO
827425,"Fort Collins city, Colorado",B19013_001,60110,1886,Fort Collins,CO
827425,"Fort Collins city, Colorado",C16002_004,445,145,Fort Collins,CO
827425,"Fort Collins city, Colorado",C16002_007,90,43,Fort Collins,CO
827425,"Fort Collins city, Colorado",C16002_010,213,90,Fort Collins,CO
827425,"Fort Collins city, Colorado",C16002_013,154,121,Fort Collins,CO
137000,"Huntsville city, Alabama",B01003_001,190501,741,Huntsville,AL
137000,"Huntsville city, Alabama",B03002_003,111535,1660,Huntsville,AL
137000,"Huntsville city, Alabama",B03002_012,10509,792,Huntsville,AL
137000,"Huntsville city, Alabama",B11016_001,81296,1040,Huntsville,AL
137000,"Huntsville city, Alabama",B17021_002,33458,1964,Huntsville,AL
137000,"Huntsville city, Alabama",B19013_001,51926,1390,Huntsville,AL
137000,"Huntsville city, Alabama",C16002_004,1014,229,Huntsville,AL
137000,"Huntsville city, Alabama",C16002_007,167,79,Huntsville,AL
137000,"Huntsville city, Alabama",C16002_010,378,139,Huntsville,AL
137000,"Huntsville city, Alabama",C16002_013,44,56,Huntsville,AL
3663000,"Rochester city, New York",B01003_001,209463,64,Rochester,NY
